Reviews,Comments
4.5 of 5 bubbles,"Both times we were there very late, after 11 PM.  At that time in many diners (forget restaurants!) you get warmed-over food and lousy service.  Not so here - food was uniformly very good and the service quite good.  There weren't many people but it...More"
4 of 5 bubbles,"Waitress was very friendly but a little pricey for a diner but the food was delicious 
The menu had a wide variety of foods to choose from but any choice would have been a good one"
4 of 5 bubbles,"Not sure why I went there for the second time. Will not go again. Not because it was terrible but because it is just average.  
The place needs a food clean .... our menus were filthy...the table was filthy 
It is impossible to have a...More"
4.5 of 5 bubbles,Doesn't look like much from the outside but walk in either the front door or back door and get greeted and sat almost immediately. Waitress was amazing and very helpful with the very large variety that they offer. My wife and I were very satisfied...More
4 of 5 bubbles,
4.5 of 5 bubbles,This is an easy any time place to have dinner!  From week night to a special occasion.  The food is reasonably priced and always delicious!
4 of 5 bubbles,"My husband and I went to Greece last fall and fell in love with the beauty and the food so while on a  Dallas business trip, we came across Ziziki's and thought we'd give it a go knowing that this was risky after 2 weeks...More"
4.5 of 5 bubbles,I love Vince's pizza and I was in the neighborhood after a meeting. I had a small pizza and salad.  Both were delicious and as I would expect. The service was friendly and attentive. The delivery was as quick as one can expect for a...More
4 of 5 bubbles,"The ambience, food and service were all excellent. With a student at Cornell we look forward to more dinners there!"
4 of 5 bubbles,"Nice big dining area.  Holds many people, so never feels crowded.  Food and cocktails are really good."
4 of 5 bubbles,This is the place if you're into the combo of excellent and sincerely unpretentious.  I'm not usually a breakfast lover - but I'll be back here to try their corned beef on potatoes and a few other treats.
4.5 of 5 bubbles,"Have been here before. This time it was disappointing. Beer variety and selection as always good but food wasnÂ´t worth the price-
Fish and meet portion in general small and all close to well-done.
Service personal wasnÂ´t committed. Once we finished the dinner plates were...More"
4 of 5 bubbles,"Came with a group of eight people, and had a wonderful evening.  The food was a wide variety, and very high quality.  Service was excellent.  The flatbread deluxe hamburger was a unique burger, and extremely tasty.  The spicy grilled green bean appetizer platter was outstanding....More"
4.5 of 5 bubbles,"My first time in this part of Montclair. Since I arrived at 12.15 pm, there was never ending influx of customers for a good 2 hours.  As busy as this restaurant is, we were not rushed and we fully enjoyed our food while enjoying our...More"
4.5 of 5 bubbles,We brought our family here for dinner on a Saturday. It was busy but the staff was very attentive and our food did not take too long. The tiger tots were amazing!  The rest of our food was good as well. A little noisy and...More
4 of 5 bubbles,
4.5 of 5 bubbles,"Din Tai Fung has always been inconstantly great.  The dumplings, noodles, and rice dishes are sublime and the service is fast and friendly. 

While everything is great and fresh ]make sure you do not forget your vegetables as the greens here are a work of...More"
4.5 of 5 bubbles,"The food and service were very good, but the size of the portions relative to price were a little disappointing.  They did nicely accommodate our large family gathering, which was nice!  The poutine was outstanding!More"
4.5 of 5 bubbles,
4 of 5 bubbles,Food always great and the margaritas are THE BEST. Wait staff are always courteous and friendly. Best TexMex in town.
4 of 5 bubbles,"We dined for lunch (group of four) and all ordered the 3-course offering for $18.99
Excellent value and the quality was exceptional. Food was fresh,
 hot and adequately portioned.No disappointment.

Better than the food(which is hard to do)was our attentive pleasant server Eden. She truly...More"
4 of 5 bubbles,"Took my fiancÃ© here for Valentineâ€™s Day. She discovered a while back that she has a gluten allergy which has really limited what she can eat. I on the other hand, was very skeptical. Long story short, the food was delicious and I left very...More"
4 of 5 bubbles,
4.5 of 5 bubbles,"One of our favorite brunch place in Seattle. Came back for the second time while we were in town. Food is absolutely lovely but the baked potatoes were a bit too dry for my taste. Overall, great place for brunch."
4.5 of 5 bubbles,"BV Tuscany is in a great location with shops and a local movie theater. We always find street parking close by. The food is delicious so fresh, excellent quality. The service is always on point so friendly too! Its very romantic inside. The desserts are...More"
4.5 of 5 bubbles,
4.5 of 5 bubbles,This place is horrible!!!!!  They dont know how to treat customers especially when they are at fault.  This place is ran by idiots and the owner should be ashamed of who he has representing him. I was a loyal customer for 4 years and after...More
4.5 of 5 bubbles,Went recently on a saturday night for a birthday celebration. We do like the atmosphere. it's loud but we didn't mind. the menu is very eclectic and appealing. problem is most everything just left the little bit to be desired. mainly not enough in the...More
4 of 5 bubbles,We live part time in Italy and are tough critics of many Italian restaurants in the US.  Paradise surprised us with two excellent dishes that would have been very good in Italy.  The pasta with cream sauce and sausage was super.  Very rich and creamy...More
4.5 of 5 bubbles,"Unique tapas menu - NOT a Mexican restaurant! My waiter made excellent recommendations and of course, the small portions or â€œtapasâ€, made it ideal to try several. 

Everything I ordered was de-lish!

Classy, relaxing ambiance."
5 of 5 bubbles,I can't tell you enough of how amazing the food here is. The edamam ravioli are to die for. There is not one dish I didn't like. This is my favorite part of visiting Atlantic City
4.5 of 5 bubbles,
4 of 5 bubbles,
4.5 of 5 bubbles,Decent service.  Nothing to write home about.  Got the fajitas and the meat was way over seasoned and the beef was super chewy. The tortillas were the only good thing of that meal.  My sister got the stuffed avocado meal and was not good.  It...More
4 of 5 bubbles,"Great staff, super atmosphere and superb staff! If you like Greek food, this place is a must!  Compared to the other restaurants at The Star, it is actually not overcrowded.  Well worth a visit!"
4.5 of 5 bubbles,
4.5 of 5 bubbles,"Fabulous!  Deserves the Michelin Star that it already has.  We had the 5 course dinner on a wintry Sunday night.  All 5 courses were marvelous!  Having said that, the linguine with geoduck was my favorite, followed closely by the veal/tuna/sweetbread appetizer.  Pork agnolotti and branzino...More"
4.5 of 5 bubbles,On Tuesdays Moore's has 2 for 1 burgers. The burgers are good and large. The service however was not so good. My wife ordered bacon with her burger but did not get it. When we mentioned this to the waitress so we wouldn't be charged...More
3.5 of 5 bubbles,"Oh the food is the freshest ever. Sushi bar rocks. Wait staff good looking, fun and helpful in selecting from the awesome dishes and specials. Fish tacos are superb. This is also best run location."
4 of 5 bubbles,"Such a nice evening! Professional and kind service in a cozy atmosphere. Everything was delicious. We shared oysters, truffle fries and asparagus. We both had beautiful steaks. Would go monthly if I lived here."
4.5 of 5 bubbles,
4 of 5 bubbles,"Six of us dined here last night - Carbonara, pizzas, gnocchi, caprese and desserts were all excellent - both taste and presentation.  Warm, friendly and attentive service. Love this place!  A new favorite in Seattle."
4.5 of 5 bubbles,
4.5 of 5 bubbles,
4.5 of 5 bubbles,"We came with high hopes and left underwhelmed. We were hoping for something a bit different, and interesting. The waitress spent more time describing drinks than food, which made me realise that this was more of a bar than a restaurant. And the food was...More"
3.5 of 5 bubbles,
4 of 5 bubbles,We had my daughter-in-lawâ€™s baby shower and we invited a large group of friends and family to celebrate the future birth of my granddaughter.  Siete Banderas restaurant offers a varied and delicious brunch items.  Everybody enjoyed the food and drinks.
4.5 of 5 bubbles,
4.5 of 5 bubbles,"Located inside the Mall Del Norte, this is a rather small but clean Luby's.  The food and service are usually quite good."
4 of 5 bubbles,"Great home style food. Yummy breakfast. Large portions. Have tried chicken strips, burgers, chicken fried steak and pies. All great!"
4.5 of 5 bubbles,What a fantastic experience. The bartender was very knowledgeable about the menu and a joy to talk with.  Our server Joe as knowledgeable and attentive. The food was Devine.  The appetizers were out of this world.  I had the elk for my main course and...More
4.5 of 5 bubbles,"We thoroughly enjoyed our Valentineâ€™s Weekend dinner here!  Weâ€™d been advised by a friend to arrive early on a weekend, so we arrived as they opened for the dinner service @ 5:30 (they donâ€™t accept weekend reservations).  By 6:00 pm there was a line of...More"
4.5 of 5 bubbles,
4.5 of 5 bubbles,
4.5 of 5 bubbles,If you are in Frisco you have to stop here. The Drinks are amazing. Service is great. Food is great.
4.5 of 5 bubbles,
4.5 of 5 bubbles,We sure enjoyed our meal and the margaritas we had at Buzzard Billyâ€™s. The place was hard to get to because of construction but well worth it. Itâ€™s on the river and has a great view and was very nice indoors with friendly staff.
3.5 of 5 bubbles,The 3 course menu for $25 is available anytime in January which is a good deal. The salmon dip and northwest duet were good. However the salmon dip was only accompanied by a couple of crackers and slices of apple. The hot fudge sundae for...More
4 of 5 bubbles,"We had a meeting in Federal Way that was going to end late, and I knew we needed to get to lunch right away, so I researched places. This sounded good, and am I glad we went!  We had the Kwan Tip Wings, which was...More"
4.5 of 5 bubbles,
4 of 5 bubbles,"This place has been run by the same family since they opened in 1973.  I had a salad and a half meatball grinder, sliced meatballs with tomato sauce and cheese.  These things are delicious but can be messy to eat.  Imagine if it had round...More"
4 of 5 bubbles,"We were excited to go here and have an early Valentine's Day dinner, Thursday, the day before the holiday and see if things had changed with the new owner. We sat in the lounge while we waited for our table. The atmosphere was relaxed, the...More"
4 of 5 bubbles,"Three star restaurant, open all year BYOB.Classy, elegant dining. Wine glasses, table cloths. Thereâ€™s not one thing on the fine menu that I would not try! Great Chef! You got me hooked!!!ðŸ¤™ðŸ¤™ðŸ¤™"
4.5 of 5 bubbles,"We had a Cheeseburger and Cujo dog! Onion rings were impressive- the straight cut French fries were golden, brown and delicious. The bowl of chili with onions and cheese was good and perfectly spicy. The spicy ketchup and salsa served in squeeze bottles are also...More"
4.5 of 5 bubbles,Service was great and the steaks were awesome. I highly recommend this Capital Grill when In NYC. Everyone was accomodating.
4.5 of 5 bubbles,"They nailed the Cajun atmosphere, felt like we could be dining in a New Orleans restaurant! Our waitress was very bubbly, attentive and informative. We ordered oysters from 3 different north eastern states. I had only had oysters from the gulf and never knew they...More"
4 of 5 bubbles,"Lots of bread and butter to start.
Expensive, small drinks with too much ice no matter what you ask for.
Big bowls of cheap lettuce with minimal nothing special ingredients.
AND - $9 a slice for their 2,000 calorie cheesecake lol. Argh! 
Stay away please...More"
4 of 5 bubbles,"Tremendous service.  Nice atmosphere.  Ordered the large filet mignon and it had a lot of grisly fat in the middle.  Didn't complain cause im not one for that, but that is a few times now where my steak there was well below average.  I prefer...More"
4.5 of 5 bubbles,"We ordered from this location 
And I'll say excellent burgers.  
Good size..  Very tasty
But very pricey"
4 of 5 bubbles,"We had the Mt St Helens special.  Itâ€™s a roll with avocado and crab meat inside and a fish variety on the outside.  It was great and creative.  The sushi we had was all very good.  

The soba noodle was mediocre, so donâ€™t go for...More"
4 of 5 bubbles,"Recently received a score of 60 from health department.  A score of 100 or higher  is closing the establishment 
Don't think I'll be back."
4.5 of 5 bubbles,
4.5 of 5 bubbles,An extensive menu that does not disappoint. This is my go-to place for Thai food near home. I love both the Tom Yum and the Tom Ka soups. I often just order the soup with a side of rice for an excellent meal.
4.5 of 5 bubbles,
4.5 of 5 bubbles,"Even a boy from Brooklyn NY enjoyed the pizza. Nice soft pizza with good cheese, mushrooms and pepperoni. Also had a bison burger which was cooked the way we like it. 

And the staff was extremely helpful and attentive. We carried out and everything was...More"
4.5 of 5 bubbles,Had a valentine dinner with my wife. She had the grilled ruby red trout and she said it was excellent. I had the crispy fried red fish and it was excellent. Our waiter was very personable and excellent service.
4.5 of 5 bubbles,
4.5 of 5 bubbles,"What Can I say ? When in Austin you should visit La Volpe, my first time around and by far I am already in love. I had no idea about the restaurant but my mom is from around and she told me about this incredible...More"
4.5 of 5 bubbles,"We have been to both Valley locations, multiple times. The stores are not really that big so finding a place to sit can sometimes be difficult. Not a place to bring more than about 6-8 people. Their pizza is quite excellent,  maybe in the Spokane...More"
4.5 of 5 bubbles,"Our group of 4 was limited in knowledge of the restaruant fare.  Our server, Anis, was very helpful in suggesting items that made our dining experience very enjoyable.  We enjoyed panner momos, spinach naan, vegetable thukpa, mango chicken, and lamb saag.  With our restaurant.com coupon,...More"
4.5 of 5 bubbles,"My first time visiting this restaurant. Oh my!! It was phenomenal from walking in the doors to walking out with a full stomach! Service, food, atmosphere, prices... I was not disappointed by any means."
4.5 of 5 bubbles,
4.5 of 5 bubbles,
4 of 5 bubbles,
4.5 of 5 bubbles,"The food was very very good.
Over priced in my opinion, but extremely good. Not a big selection to choose from.
The waitress was extremely good in the beginning but tended to ignore us at the end. 
The place was so crowded people were standing...More"
4.5 of 5 bubbles,Visted on a sat night...busy so make sure you reserve a table...moderately priced....excellent portions...started with 3 beef empanadas....tasty and not greasy at all....also had the cuban chorizo..could have been spicier..but it was excellent...for entrees stuffed porkchop with chorizo and manchego cheese....smothered in pears and onions...also...More
4 of 5 bubbles,We heard about Pane e Vino from a friend and decided to try it.  We were met by the owner and escorted to our table.  Three of us ordered the lasagna and thought it was really good.  The fourth person ordered the veal picatta and...More
4.5 of 5 bubbles,"Everything here is delicious and well-prepared from the olives to the bruschetta to the pasta (amazing--we tried three different ones and they were all scrumptious) to the mains. They have a lovely wine list and good cocktails. We went on a monday evening, called last...More"
4.5 of 5 bubbles,"My sister and I came here on Christmas Eve for dinner and it could not have been more pleasant!!  We both had melt in your mouth salmon, which was expertly prepared and we both loved!!  Also had a delightful cheesecake with wonderful coffee for dessert,...More"
4.5 of 5 bubbles,This restaurant feels like you are walking into the past in a good way. Greeted by a gentleman who was polite and very organized. Our waiter never stopped moving was very polite. He was good about all of our requests. We even had to make...More
4 of 5 bubbles,Weâ€™ve been in this nice and classy place for dinner with my husband and we remain very satisfied of our four corses menu! Every plate was delicious and service was awesome) The chief was attentive to every guest! Recommended!
4.5 of 5 bubbles,"Celebrating the end of 2019.  Reserved for 2 at 4:45, yet table set for four...awkward.  Lots of young families with small children. Fun to watch!  My gorgeous smart & sweet wife had the Modern Caesar Salad that comes with two pieces of petite garlic toasts....More"
4.5 of 5 bubbles,
4.5 of 5 bubbles,"My sisters and their husbands and I went here for my Momâ€™s 88th birthday. Wonderful restaurant. The food and service were spectacular. The portions were surprisingly large. But of course you pay for what you get. My brother-in-law picked up the tab, which had to...More"
4.5 of 5 bubbles,"Ironbound - the pizza was pretty good and the beer was cold.  It was cold and rainy outside, I had returned my rental car, the service was good and it was convenient."
4 of 5 bubbles,"Deliver to hotels in area. Used them when we stayed at Holiday Inn Express Kennedy Airport. I ordered sausage parmigiana with a nice side salad. My spouse had a baked manicotti dish. Delivery did take an hour, but the dishes were still hot when delivered...More"
4 of 5 bubbles,Black Friday everything else was very crowded so we decided to grab a quick bite here. The line moved fast so was good. The cheese pizza was good. But the veggie was below average.the spaghetti was okay
4 of 5 bubbles,"Food and drinks are always on point. I visit 3 to 4 times a month. Today they had a guest singer. JUST AWEFUL!! He cannot sings,sounds terrible and just loud. How do you chase customers away? Have the band that played at Brasilia on Feb...More"
4 of 5 bubbles,
4.5 of 5 bubbles,We stopped in as it looked so cozy with real wood burning fireplaces . The menu had some unique items and many beers to choose from. Our waiter Dave suggested the beer and was exactly what my husband liked. Then he asked me what I...More
4.5 of 5 bubbles,
4.5 of 5 bubbles,
4.5 of 5 bubbles,"Metropolitan cafe is dependable, always has fresh delicious food. We went most recently for a brunch and it was delicious. A large variety of options, great bar,  and they take reservations-which isnâ€™t common for brunch in the area."
4 of 5 bubbles,
4.5 of 5 bubbles,"We went here because it was walking distance to the hotel. Everything is a la carte. We both had the ""dry"" meaning lean brisket. I had coleslaw, my husband had beans, and we were given a baggie of 4 slices of white bread. Cafeteria style...More"
4.5 of 5 bubbles,"Murray's Cheeses on Bleecker St NYC is the MECCA for cheese lovers. They have a HUGE variety of cheeses; they even allow taste testing of any cheese you want. But they not only have cheese, they have wine, crackers, and various other items that you...More"
4.5 of 5 bubbles,"The staff were very attentive and they gave me a good wine recommendation, a very good service. I had the salmon and it was delicious and ate every bite and no trouble dealing with gluten free. Some of the food options were unusually I would...More"
4.5 of 5 bubbles,"I was very pleasantly surprised by the quality of food and ambiance of this establishment, felt very Japanese.Will be back."
4.5 of 5 bubbles,
4.5 of 5 bubbles,"I totally get that I live in the beef capital of the world.   Texas is Best when it comes to beef!  Whether itâ€™s the cut or cooking, Longhorn Steakhouses is tops in beef.   Drop in.  Ask for Ashley, youâ€™ll be glad you did."
4 of 5 bubbles,"This is your typical American-Italian eatery in that the cuisine is really more American's idea of what Italian food should be like, rather than authentic Italian.

If find most of the dishes pretty blah, although I do appreciate that they use a more flavorful cheese...More"
4 of 5 bubbles,"I love Oto Sushi.  I go there at least once a week and can not recall ever getting a meal I did not thoroughly enjoy.  The menu is full of elegant and delicious choices.
The prices are great.  The service is immaculate, helpful and not...More"
4 of 5 bubbles,"The food here has been everything from terrible (tortilla soup) to wonderful (fajitas). Recently, they also offer Indian food, which is very odd. The best thing on the menu is the CoronaRita. Stick with that and some chips and salsa."
4 of 5 bubbles,
4.5 of 5 bubbles,"Welcoming and trendy setting with creative twists to even the most basic dish! Great meal, great atmosphereâ€”and the owners and staff couldnâ€™t be more cordial.  Every item is beautifully presented and flavorful. You can stop in for a latte, or a full meal and wonâ€™t...More"
